Date,"Bronchite"
2015-07-01,191
2015-07-02,191
2015-07-03,175
2015-07-04,142
2015-07-05,167
2015-07-06,208
2015-07-07,212
2015-07-08,176
2015-07-09,202
2015-07-10,191
2015-07-11,168
2015-07-12,167
2015-07-13,231
2015-07-14,178
2015-07-15,206
2015-07-16,154
2015-07-17,150
2015-07-18,121
2015-07-19,153
2015-07-20,190
2015-07-21,195
2015-07-22,171
2015-07-23,208
2015-07-24,176
2015-07-25,155
2015-07-26,174
2015-07-27,238
2015-07-28,201
2015-07-29,192
2015-07-30,194
2015-07-31,156
2015-08-01,123
2015-08-02,157
2015-08-03,223
2015-08-04,187
2015-08-05,169
2015-08-06,201
2015-08-07,175
2015-08-08,127
2015-08-09,181
2015-08-10,178
2015-08-11,196
2015-08-12,216
2015-08-13,178
2015-08-14,161
2015-08-15,162
2015-08-16,200
2015-08-17,204
2015-08-18,216
2015-08-19,227
2015-08-20,201
2015-08-21,204
2015-08-22,172
2015-08-23,212
2015-08-24,294
2015-08-25,252
2015-08-26,242
2015-08-27,247
2015-08-28,243
2015-08-29,200
2015-08-30,217
2015-08-31,262
2015-09-01,234
2015-09-02,270
2015-09-03,237
2015-09-04,212
2015-09-05,198
2015-09-06,184
2015-09-07,232
2015-09-08,260
2015-09-09,176
2015-09-10,182
2015-09-11,205
2015-09-12,169
2015-09-13,183
2015-09-14,225
2015-09-15,231
2015-09-16,192
2015-09-17,196
2015-09-18,212
2015-09-19,193
2015-09-20,211
2015-09-21,298
2015-09-22,266
2015-09-23,279
2015-09-24,292
2015-09-25,212
2015-09-26,242
2015-09-27,219
2015-09-28,298
2015-09-29,292
2015-09-30,270
2015-10-01,317
2015-10-02,296
2015-10-03,244
2015-10-04,270
2015-10-05,357
2015-10-06,353
2015-10-07,343
2015-10-08,336
2015-10-09,338
2015-10-10,284
2015-10-11,268
2015-10-12,421
2015-10-13,348
2015-10-14,352
2015-10-15,367
2015-10-16,314
2015-10-17,239
2015-10-18,301
2015-10-19,460
2015-10-20,392
2015-10-21,352
2015-10-22,351
2015-10-23,296
2015-10-24,283
2015-10-25,308
2015-10-26,446
2015-10-27,377
2015-10-28,408
2015-10-29,382
2015-10-30,335
2015-10-31,283
2015-11-01,306
2015-11-02,423
2015-11-03,353
2015-11-04,390
2015-11-05,300
2015-11-06,342
2015-11-07,300
2015-11-08,307
2015-11-09,441
2015-11-10,410
2015-11-11,367
2015-11-12,382
2015-11-13,325
2015-11-14,220
2015-11-15,299
2015-11-16,373
2015-11-17,324
2015-11-18,386
2015-11-19,348
2015-11-20,288
2015-11-21,254
2015-11-22,247
2015-11-23,343
2015-11-24,411
2015-11-25,369
2015-11-26,340
2015-11-27,322
2015-11-28,277
2015-11-29,287
2015-11-30,423
2015-12-01,379
2015-12-02,350
2015-12-03,362
2015-12-04,329
2015-12-05,251
2015-12-06,304
2015-12-07,350
2015-12-08,335
2015-12-09,462
2015-12-10,427
2015-12-11,429
2015-12-12,387
