Date,"Cefalea"
2015-07-01,368
2015-07-02,380
2015-07-03,300
2015-07-04,229
2015-07-05,213
2015-07-06,308
2015-07-07,296
2015-07-08,281
2015-07-09,298
2015-07-10,289
2015-07-11,219
2015-07-12,236
2015-07-13,373
2015-07-14,288
2015-07-15,299
2015-07-16,311
2015-07-17,332
2015-07-18,210
2015-07-19,227
2015-07-20,261
2015-07-21,268
2015-07-22,228
2015-07-23,261
2015-07-24,220
2015-07-25,180
2015-07-26,216
2015-07-27,322
2015-07-28,263
2015-07-29,294
2015-07-30,291
2015-07-31,246
2015-08-01,209
2015-08-02,201
2015-08-03,223
2015-08-04,272
2015-08-05,275
2015-08-06,250
2015-08-07,219
2015-08-08,206
2015-08-09,237
2015-08-10,240
2015-08-11,295
2015-08-12,306
2015-08-13,247
2015-08-14,218
2015-08-15,189
2015-08-16,265
2015-08-17,264
2015-08-18,272
2015-08-19,293
2015-08-20,280
2015-08-21,333
2015-08-22,252
2015-08-23,305
2015-08-24,325
2015-08-25,351
2015-08-26,340
2015-08-27,310
2015-08-28,400
2015-08-29,286
2015-08-30,313
2015-08-31,378
2015-09-01,361
2015-09-02,395
2015-09-03,325
2015-09-04,359
2015-09-05,268
2015-09-06,292
2015-09-07,348
2015-09-08,356
2015-09-09,370
2015-09-10,322
2015-09-11,347
2015-09-12,245
2015-09-13,280
2015-09-14,392
2015-09-15,330
2015-09-16,354
2015-09-17,338
2015-09-18,310
2015-09-19,243
2015-09-20,300
2015-09-21,376
2015-09-22,326
2015-09-23,384
2015-09-24,352
2015-09-25,277
2015-09-26,257
2015-09-27,263
2015-09-28,332
2015-09-29,353
2015-09-30,332
2015-10-01,345
2015-10-02,311
2015-10-03,237
2015-10-04,252
2015-10-05,401
2015-10-06,358
2015-10-07,404
2015-10-08,390
2015-10-09,351
2015-10-10,290
2015-10-11,287
2015-10-12,322
2015-10-13,365
2015-10-14,351
2015-10-15,366
2015-10-16,332
2015-10-17,273
2015-10-18,280
2015-10-19,374
2015-10-20,354
2015-10-21,389
2015-10-22,318
2015-10-23,282
2015-10-24,263
2015-10-25,276
2015-10-26,401
2015-10-27,348
2015-10-28,346
2015-10-29,345
2015-10-30,331
2015-10-31,233
2015-11-01,270
2015-11-02,359
2015-11-03,334
2015-11-04,415
2015-11-05,393
2015-11-06,416
2015-11-07,272
2015-11-08,327
2015-11-09,401
2015-11-10,384
2015-11-11,419
2015-11-12,399
2015-11-13,378
2015-11-14,219
2015-11-15,303
2015-11-16,353
2015-11-17,390
2015-11-18,359
2015-11-19,415
2015-11-20,405
2015-11-21,290
2015-11-22,270
2015-11-23,343
2015-11-24,365
2015-11-25,319
2015-11-26,372
2015-11-27,281
2015-11-28,246
2015-11-29,287
2015-11-30,414
2015-12-01,354
2015-12-02,354
2015-12-03,352
2015-12-04,306
2015-12-05,221
2015-12-06,246
2015-12-07,280
2015-12-08,292
2015-12-09,373
2015-12-10,357
2015-12-11,348
2015-12-12,261
2015-12-13,266
2015-12-14,321
2015-12-15,316
2015-12-16,297
2015-12-17,289
2015-12-18,293
2015-12-19,248
2015-12-20,252
2015-12-21,277
2015-12-22,233
2015-12-23,257
2015-12-24,172
2015-12-25,179
2015-12-26,245
2015-12-27,253
2015-12-28,344
2015-12-29,361
2015-12-30,347
2015-12-31,198
2016-01-01,222
2016-01-02,314
2016-01-03,263
2016-01-04,347
2016-01-05,324
2016-01-06,308
2016-01-07,385
2016-01-08,352
2016-01-09,337
2016-01-10,338
2016-01-11,408
2016-01-12,422
2016-01-13,406
2016-01-14,413
2016-01-15,382
2016-01-16,301
2016-01-17,301
2016-01-18,381
2016-01-19,386
2016-01-20,373
2016-01-21,393
2016-01-22,378
2016-01-23,354
2016-01-24,409
2016-01-25,409
2016-01-26,456
2016-01-27,388
2016-01-28,391
2016-01-29,427
2016-01-30,333
2016-01-31,319
2016-02-01,431
2016-02-02,418
2016-02-03,432
2016-02-04,480
2016-02-05,431
2016-02-06,339
2016-02-07,348
2016-02-08,453
2016-02-09,492
2016-02-10,542
2016-02-11,495
2016-02-12,414
2016-02-13,374
2016-02-14,357
2016-02-15,466
2016-02-16,455
2016-02-17,471
2016-02-18,504
2016-02-19,454
2016-02-20,330
2016-02-21,407
2016-02-22,491
2016-02-23,477
2016-02-24,470
2016-02-25,427
2016-02-26,372
2016-02-27,331
2016-02-28,383
2016-02-29,426
2016-03-01,436
2016-03-02,450
2016-03-03,494
2016-03-04,429
2016-03-05,339
2016-03-06,366
2016-03-07,557
2016-03-08,435
2016-03-09,420
2016-03-10,421
2016-03-11,409
2016-03-12,286
2016-03-13,313
2016-03-14,405
2016-03-15,429
2016-03-16,458
2016-03-17,423
2016-03-18,432
2016-03-19,286
2016-03-20,318
2016-03-21,432
2016-03-22,437
2016-03-23,378
2016-03-24,312
2016-03-25,346
2016-03-26,311
2016-03-27,246
2016-03-28,285
2016-03-29,401
2016-03-30,390
2016-03-31,403
2016-04-01,366
2016-04-02,327
2016-04-03,303
2016-04-04,392
2016-04-05,436
2016-04-06,431
2016-04-07,424
2016-04-08,379
2016-04-09,396
2016-04-10,350
2016-04-11,403
2016-04-12,408
2016-04-13,427
2016-04-14,418
2016-04-15,352
2016-04-16,290
2016-04-17,331
2016-04-18,379
2016-04-19,419
2016-04-20,377
2016-04-21,378
2016-04-22,308
2016-04-23,291
2016-04-24,259
2016-04-25,275
2016-04-26,354
2016-04-27,372
2016-04-28,322
2016-04-29,326
2016-04-30,300
2016-05-01,258
2016-05-02,362
2016-05-03,333
2016-05-04,361
2016-05-05,392
2016-05-06,336
2016-05-07,256
2016-05-08,282
2016-05-09,401
2016-05-10,369
2016-05-11,349
2016-05-12,418
2016-05-13,353
2016-05-14,299
2016-05-15,311
2016-05-16,338
2016-05-17,358
2016-05-18,333
2016-05-19,387
2016-05-20,313
2016-05-21,263
2016-05-22,264
2016-05-23,375
2016-05-24,384
2016-05-25,350
2016-05-26,345
2016-05-27,336
2016-05-28,245
2016-05-29,300
2016-05-30,324
2016-05-31,327
2016-06-01,360
2016-06-02,319
2016-06-03,325
2016-06-04,275
2016-06-05,256
