Date,"Faringite"
2015-07-01,220
2015-07-02,208
2015-07-03,220
2015-07-04,158
2015-07-05,157
2015-07-06,227
2015-07-07,208
2015-07-08,188
2015-07-09,170
2015-07-10,166
2015-07-11,132
2015-07-12,133
2015-07-13,202
2015-07-14,198
2015-07-15,170
2015-07-16,159
2015-07-17,158
2015-07-18,103
2015-07-19,147
2015-07-20,208
2015-07-21,157
2015-07-22,192
2015-07-23,183
2015-07-24,156
2015-07-25,124
2015-07-26,99
2015-07-27,180
2015-07-28,195
2015-07-29,176
2015-07-30,174
2015-07-31,154
2015-08-01,136
2015-08-02,129
2015-08-03,172
2015-08-04,199
2015-08-05,162
2015-08-06,193
2015-08-07,191
2015-08-08,119
2015-08-09,151
2015-08-10,176
2015-08-11,198
2015-08-12,179
2015-08-13,147
2015-08-14,165
2015-08-15,134
2015-08-16,119
2015-08-17,191
2015-08-18,222
2015-08-19,213
2015-08-20,200
2015-08-21,177
2015-08-22,168
2015-08-23,158
2015-08-24,217
2015-08-25,193
2015-08-26,202
2015-08-27,191
2015-08-28,207
2015-08-29,167
2015-08-30,152
2015-08-31,227
2015-09-01,244
2015-09-02,231
2015-09-03,187
2015-09-04,166
2015-09-05,148
2015-09-06,150
2015-09-07,234
2015-09-08,184
2015-09-09,200
2015-09-10,205
2015-09-11,180
2015-09-12,166
2015-09-13,142
2015-09-14,200
2015-09-15,195
2015-09-16,191
2015-09-17,205
2015-09-18,181
2015-09-19,169
2015-09-20,141
2015-09-21,221
2015-09-22,232
2015-09-23,216
2015-09-24,271
2015-09-25,236
2015-09-26,227
2015-09-27,175
2015-09-28,273
2015-09-29,258
2015-09-30,251
2015-10-01,256
2015-10-02,262
2015-10-03,198
2015-10-04,219
2015-10-05,282
2015-10-06,268
2015-10-07,310
2015-10-08,259
2015-10-09,286
2015-10-10,189
2015-10-11,206
2015-10-12,307
2015-10-13,287
2015-10-14,306
2015-10-15,299
2015-10-16,282
2015-10-17,211
2015-10-18,203
2015-10-19,310
2015-10-20,276
2015-10-21,255
2015-10-22,272
2015-10-23,235
2015-10-24,217
2015-10-25,207
2015-10-26,314
2015-10-27,286
2015-10-28,254
2015-10-29,230
2015-10-30,254
2015-10-31,169
2015-11-01,154
2015-11-02,300
2015-11-03,222
2015-11-04,220
2015-11-05,205
2015-11-06,176
2015-11-07,159
2015-11-08,205
2015-11-09,259
2015-11-10,213
2015-11-11,193
2015-11-12,233
2015-11-13,253
2015-11-14,155
2015-11-15,165
2015-11-16,262
2015-11-17,257
2015-11-18,226
2015-11-19,217
2015-11-20,189
2015-11-21,168
2015-11-22,135
2015-11-23,215
2015-11-24,208
2015-11-25,228
2015-11-26,201
2015-11-27,231
2015-11-28,186
