Date,"Faringite streptococcica"
2015-07-01,157
2015-07-02,123
2015-07-03,117
2015-07-04,104
2015-07-05,110
2015-07-06,137
2015-07-07,121
2015-07-08,130
2015-07-09,117
2015-07-10,109
2015-07-11,97
2015-07-12,102
2015-07-13,127
2015-07-14,116
2015-07-15,114
2015-07-16,118
2015-07-17,111
2015-07-18,92
2015-07-19,101
2015-07-20,120
2015-07-21,121
2015-07-22,82
2015-07-23,118
2015-07-24,87
2015-07-25,78
2015-07-26,85
2015-07-27,127
2015-07-28,111
2015-07-29,93
2015-07-30,105
2015-07-31,82
2015-08-01,82
2015-08-02,58
2015-08-03,82
2015-08-04,81
2015-08-05,88
2015-08-06,86
2015-08-07,82
2015-08-08,67
2015-08-09,92
2015-08-10,92
2015-08-11,63
2015-08-12,91
2015-08-13,80
2015-08-14,80
2015-08-15,64
2015-08-16,72
2015-08-17,91
2015-08-18,82
2015-08-19,78
2015-08-20,70
2015-08-21,93
2015-08-22,66
2015-08-23,83
2015-08-24,103
2015-08-25,89
2015-08-26,84
2015-08-27,91
2015-08-28,116
2015-08-29,70
2015-08-30,60
2015-08-31,80
2015-09-01,92
2015-09-02,90
2015-09-03,87
2015-09-04,72
2015-09-05,85
2015-09-06,77
2015-09-07,101
2015-09-08,88
2015-09-09,74
2015-09-10,74
2015-09-11,100
2015-09-12,62
2015-09-13,73
2015-09-14,70
2015-09-15,81
2015-09-16,87
2015-09-17,72
2015-09-18,97
2015-09-19,66
2015-09-20,99
2015-09-21,95
2015-09-22,99
2015-09-23,74
2015-09-24,93
2015-09-25,132
2015-09-26,115
2015-09-27,105
2015-09-28,101
2015-09-29,104
2015-09-30,105
2015-10-01,78
2015-10-02,111
2015-10-03,80
2015-10-04,77
2015-10-05,102
2015-10-06,114
2015-10-07,120
2015-10-08,107
2015-10-09,106
2015-10-10,84
2015-10-11,93
2015-10-12,112
2015-10-13,88
2015-10-14,109
2015-10-15,116
2015-10-16,135
2015-10-17,74
2015-10-18,101
2015-10-19,142
2015-10-20,124
2015-10-21,92
2015-10-22,119
2015-10-23,128
2015-10-24,108
2015-10-25,105
2015-10-26,153
2015-10-27,153
2015-10-28,141
2015-10-29,124
2015-10-30,135
2015-10-31,83
2015-11-01,109
2015-11-02,123
2015-11-03,144
2015-11-04,146
2015-11-05,122
2015-11-06,153
2015-11-07,106
2015-11-08,125
2015-11-09,173
2015-11-10,161
2015-11-11,154
2015-11-12,162
2015-11-13,164
2015-11-14,101
2015-11-15,127
2015-11-16,143
2015-11-17,148
2015-11-18,151
2015-11-19,186
2015-11-20,192
2015-11-21,168
2015-11-22,138
2015-11-23,149
2015-11-24,181
2015-11-25,147
2015-11-26,166
2015-11-27,167
2015-11-28,118
2015-11-29,135
2015-11-30,165
2015-12-01,177
2015-12-02,170
2015-12-03,148
2015-12-04,192
2015-12-05,148
2015-12-06,161
2015-12-07,157
2015-12-08,161
2015-12-09,182
2015-12-10,191
2015-12-11,188
2015-12-12,129
2015-12-13,156
2015-12-14,202
2015-12-15,189
2015-12-16,179
2015-12-17,157
2015-12-18,160
2015-12-19,191
2015-12-20,137
2015-12-21,208
2015-12-22,199
2015-12-23,158
2015-12-24,145
2015-12-25,142
2015-12-26,173
2015-12-27,143
2015-12-28,209
2015-12-29,195
2015-12-30,204
2015-12-31,125
2016-01-01,142
