Date,"Febbre"
2015-07-01,431
2015-07-02,386
2015-07-03,342
2015-07-04,340
2015-07-05,330
2015-07-06,365
2015-07-07,403
2015-07-08,401
2015-07-09,363
2015-07-10,305
2015-07-11,365
2015-07-12,407
2015-07-13,457
2015-07-14,396
2015-07-15,415
2015-07-16,413
2015-07-17,379
2015-07-18,341
2015-07-19,396
2015-07-20,414
2015-07-21,414
2015-07-22,409
2015-07-23,445
2015-07-24,337
2015-07-25,335
2015-07-26,397
2015-07-27,406
2015-07-28,452
2015-07-29,355
2015-07-30,321
2015-07-31,311
2015-08-01,267
2015-08-02,272
2015-08-03,302
2015-08-04,279
2015-08-05,309
2015-08-06,329
2015-08-07,287
2015-08-08,285
2015-08-09,316
2015-08-10,312
2015-08-11,337
2015-08-12,364
2015-08-13,344
2015-08-14,335
2015-08-15,269
2015-08-16,401
2015-08-17,349
2015-08-18,386
2015-08-19,385
2015-08-20,351
2015-08-21,373
2015-08-22,368
2015-08-23,376
2015-08-24,457
2015-08-25,411
2015-08-26,398
2015-08-27,378
2015-08-28,393
2015-08-29,369
2015-08-30,390
2015-08-31,424
2015-09-01,485
2015-09-02,450
2015-09-03,427
2015-09-04,442
2015-09-05,381
2015-09-06,392
2015-09-07,437
2015-09-08,444
2015-09-09,448
2015-09-10,463
2015-09-11,411
2015-09-12,358
2015-09-13,395
2015-09-14,439
2015-09-15,511
2015-09-16,486
2015-09-17,468
2015-09-18,395
2015-09-19,416
2015-09-20,451
2015-09-21,452
2015-09-22,506
2015-09-23,525
2015-09-24,507
2015-09-25,450
2015-09-26,449
2015-09-27,451
2015-09-28,550
2015-09-29,547
2015-09-30,562
2015-10-01,488
2015-10-02,429
2015-10-03,466
2015-10-04,478
2015-10-05,558
2015-10-06,561
2015-10-07,522
2015-10-08,469
2015-10-09,471
2015-10-10,465
2015-10-11,481
2015-10-12,517
2015-10-13,563
2015-10-14,453
2015-10-15,525
2015-10-16,418
2015-10-17,412
2015-10-18,442
2015-10-19,523
2015-10-20,480
2015-10-21,538
2015-10-22,491
2015-10-23,386
2015-10-24,422
2015-10-25,467
2015-10-26,528
2015-10-27,481
2015-10-28,494
2015-10-29,460
2015-10-30,383
2015-10-31,365
2015-11-01,439
2015-11-02,488
2015-11-03,490
2015-11-04,526
2015-11-05,471
2015-11-06,453
2015-11-07,414
2015-11-08,463
2015-11-09,501
2015-11-10,484
2015-11-11,463
2015-11-12,464
2015-11-13,432
2015-11-14,356
2015-11-15,388
2015-11-16,494
2015-11-17,477
2015-11-18,465
2015-11-19,489
2015-11-20,437
2015-11-21,443
2015-11-22,479
2015-11-23,540
2015-11-24,564
2015-11-25,513
2015-11-26,532
