Date,"Paracetamolo"
2015-07-01,553
2015-07-02,515
2015-07-03,547
2015-07-04,508
2015-07-05,503
2015-07-06,548
2015-07-07,523
2015-07-08,550
2015-07-09,526
2015-07-10,550
2015-07-11,506
2015-07-12,487
2015-07-13,582
2015-07-14,647
2015-07-15,539
2015-07-16,546
2015-07-17,546
2015-07-18,471
2015-07-19,501
2015-07-20,528
2015-07-21,530
2015-07-22,531
2015-07-23,2999
2015-07-24,1281
2015-07-25,721
2015-07-26,506
2015-07-27,553
2015-07-28,558
2015-07-29,595
2015-07-30,503
2015-07-31,508
2015-08-01,521
2015-08-02,594
2015-08-03,538
2015-08-04,569
2015-08-05,618
2015-08-06,576
2015-08-07,512
2015-08-08,483
2015-08-09,467
2015-08-10,604
2015-08-11,541
2015-08-12,524
2015-08-13,583
2015-08-14,566
2015-08-15,552
2015-08-16,633
2015-08-17,596
2015-08-18,651
2015-08-19,637
2015-08-20,613
2015-08-21,626
2015-08-22,573
2015-08-23,632
2015-08-24,624
2015-08-25,740
2015-08-26,647
2015-08-27,704
2015-08-28,597
2015-08-29,561
2015-08-30,586
2015-08-31,633
2015-09-01,637
2015-09-02,703
2015-09-03,670
2015-09-04,662
2015-09-05,622
2015-09-06,605
2015-09-07,712
2015-09-08,667
2015-09-09,691
2015-09-10,694
2015-09-11,710
2015-09-12,573
2015-09-13,606
2015-09-14,648
2015-09-15,708
2015-09-16,712
2015-09-17,594
2015-09-18,658
2015-09-19,671
2015-09-20,642
2015-09-21,753
2015-09-22,720
2015-09-23,775
2015-09-24,767
2015-09-25,752
2015-09-26,808
2015-09-27,882
2015-09-28,883
2015-09-29,881
2015-09-30,900
2015-10-01,852
2015-10-02,889
2015-10-03,820
2015-10-04,871
2015-10-05,907
2015-10-06,1006
2015-10-07,952
2015-10-08,896
2015-10-09,940
2015-10-10,892
2015-10-11,842
2015-10-12,911
2015-10-13,1000
2015-10-14,983
2015-10-15,839
2015-10-16,880
2015-10-17,857
2015-10-18,848
2015-10-19,884
2015-10-20,993
2015-10-21,951
2015-10-22,948
2015-10-23,882
2015-10-24,798
2015-10-25,785
2015-10-26,903
2015-10-27,957
2015-10-28,886
2015-10-29,931
2015-10-30,806
2015-10-31,746
2015-11-01,708
2015-11-02,872
2015-11-03,883
2015-11-04,866
2015-11-05,964
2015-11-06,892
2015-11-07,810
2015-11-08,777
2015-11-09,854
2015-11-10,872
2015-11-11,877
2015-11-12,917
2015-11-13,807
2015-11-14,668
2015-11-15,810
2015-11-16,888
2015-11-17,895
2015-11-18,1028
2015-11-19,880
2015-11-20,838
2015-11-21,745
2015-11-22,768
2015-11-23,905
2015-11-24,924
2015-11-25,882
2015-11-26,848
2015-11-27,899
2015-11-28,799
2015-11-29,829
2015-11-30,875
2015-12-01,905
2015-12-02,911
2015-12-03,1419
2015-12-04,941
2015-12-05,838
2015-12-06,826
2015-12-07,952
2015-12-08,824
2015-12-09,1146
2015-12-10,933
2015-12-11,935
2015-12-12,879
2015-12-13,929
2015-12-14,932
2015-12-15,1005
2015-12-16,1126
2015-12-17,1028
2015-12-18,844
2015-12-19,827
2015-12-20,821
2015-12-21,962
2015-12-22,938
2015-12-23,924
2015-12-24,728
2015-12-25,758
2015-12-26,928
2015-12-27,1156
2015-12-28,1262
2015-12-29,1244
2015-12-30,1236
2015-12-31,1203
2016-01-01,1077
2016-01-02,1145
2016-01-03,1178
2016-01-04,1246
2016-01-05,1216
2016-01-06,1156
2016-01-07,1173
2016-01-08,1230
2016-01-09,1047
2016-01-10,1121
2016-01-11,1232
2016-01-12,1119
2016-01-13,1103
2016-01-14,1130
2016-01-15,1007
2016-01-16,995
2016-01-17,1035
2016-01-18,1096
2016-01-19,1115
2016-01-20,1035
2016-01-21,1136
2016-01-22,967
2016-01-23,1079
2016-01-24,1088
2016-01-25,1201
2016-01-26,1124
2016-01-27,1245
2016-01-28,1169
2016-01-29,1060
2016-01-30,1035
2016-01-31,1119
2016-02-01,1192
2016-02-02,1107
2016-02-03,1222
2016-02-04,1125
2016-02-05,1284
2016-02-06,1121
2016-02-07,1204
2016-02-08,1659
2016-02-09,1654
2016-02-10,1361
2016-02-11,1271
2016-02-12,1270
2016-02-13,1147
2016-02-14,1156
2016-02-15,1244
2016-02-16,1235
2016-02-17,1248
2016-02-18,1238
2016-02-19,1128
2016-02-20,1038
2016-02-21,1102
2016-02-22,1266
2016-02-23,1424
2016-02-24,1440
2016-02-25,1183
2016-02-26,1211
2016-02-27,1071
2016-02-28,1043
2016-02-29,1118
2016-03-01,1065
2016-03-02,1143
2016-03-03,1184
2016-03-04,1101
2016-03-05,1022
2016-03-06,1071
2016-03-07,1074
2016-03-08,1134
2016-03-09,1204
2016-03-10,1176
2016-03-11,1109
2016-03-12,1005
2016-03-13,1054
2016-03-14,1120
2016-03-15,1177
2016-03-16,1107
2016-03-17,1116
2016-03-18,1103
2016-03-19,998
2016-03-20,1018
2016-03-21,1145
2016-03-22,1065
2016-03-23,1104
2016-03-24,967
2016-03-25,1045
2016-03-26,870
2016-03-27,791
2016-03-28,807
2016-03-29,961
2016-03-30,1061
2016-03-31,995
2016-04-01,1002
2016-04-02,908
2016-04-03,847
2016-04-04,913
2016-04-05,964
2016-04-06,1279
2016-04-07,1149
2016-04-08,933
2016-04-09,795
2016-04-10,797
2016-04-11,938
2016-04-12,925
2016-04-13,890
2016-04-14,853
2016-04-15,806
2016-04-16,757
2016-04-17,753
2016-04-18,810
2016-04-19,797
2016-04-20,856
2016-04-21,912
2016-04-22,761
2016-04-23,815
2016-04-24,784
2016-04-25,826
2016-04-26,837
2016-04-27,881
2016-04-28,901
2016-04-29,825
2016-04-30,797
2016-05-01,821
2016-05-02,824
2016-05-03,871
2016-05-04,755
2016-05-05,871
2016-05-06,780
2016-05-07,705
2016-05-08,731
2016-05-09,861
2016-05-10,850
2016-05-11,841
2016-05-12,833
2016-05-13,994
2016-05-14,1100
2016-05-15,762
2016-05-16,848
2016-05-17,830
2016-05-18,864
2016-05-19,862
2016-05-20,770
2016-05-21,691
2016-05-22,714
2016-05-23,857
2016-05-24,845
2016-05-25,764
2016-05-26,755
2016-05-27,769
2016-05-28,660
2016-05-29,711
2016-05-30,1031
2016-05-31,914
2016-06-01,928
2016-06-02,788
2016-06-03,741
2016-06-04,765
2016-06-05,680
2016-06-06,777
2016-06-07,681
2016-06-08,779
2016-06-09,790
2016-06-10,758
2016-06-11,705
2016-06-12,757
2016-06-13,725
2016-06-14,848
2016-06-15,758
2016-06-16,723
2016-06-17,673
2016-06-18,686
2016-06-19,771
2016-06-20,698
2016-06-21,737
2016-06-22,701
2016-06-23,741
2016-06-24,638
2016-06-25,650
2016-06-26,648
2016-06-27,666
2016-06-28,682
2016-06-29,680
2016-06-30,730
2016-07-01,679
2016-07-02,592
2016-07-03,616
2016-07-04,708
2016-07-05,722
2016-07-06,714
2016-07-07,682
2016-07-08,658
2016-07-09,561
2016-07-10,640
2016-07-11,649
2016-07-12,684
2016-07-13,640
2016-07-14,646
2016-07-15,627
2016-07-16,575
2016-07-17,608
2016-07-18,688
2016-07-19,660
2016-07-20,642
2016-07-21,655
2016-07-22,598
2016-07-23,581
2016-07-24,633
2016-07-25,660
2016-07-26,634
2016-07-27,713
2016-07-28,592
2016-07-29,581
2016-07-30,552
2016-07-31,537
2016-08-01,588
2016-08-02,654
2016-08-03,621
2016-08-04,623
2016-08-05,584
2016-08-06,558
2016-08-07,666
2016-08-08,669
2016-08-09,647
2016-08-10,656
2016-08-11,690
2016-08-12,706
2016-08-13,636
2016-08-14,631
2016-08-15,586
2016-08-16,667
2016-08-17,677
2016-08-18,663
2016-08-19,765
2016-08-20,675
2016-08-21,652
2016-08-22,725
2016-08-23,793
2016-08-24,799
2016-08-25,790
2016-08-26,779
2016-08-27,693
2016-08-28,648
2016-08-29,720
2016-08-30,806
2016-08-31,721
2016-09-01,642
2016-09-02,749
2016-09-03,725
2016-09-04,718
2016-09-05,828
2016-09-06,796
2016-09-07,777
2016-09-08,790
2016-09-09,704
2016-09-10,669
2016-09-11,737
2016-09-12,766
2016-09-13,798
2016-09-14,709
2016-09-15,749
2016-09-16,720
2016-09-17,699
2016-09-18,693
2016-09-19,830
2016-09-20,848
2016-09-21,932
2016-09-22,1189
2016-09-23,860
2016-09-24,800
2016-09-25,877
2016-09-26,1006
2016-09-27,1036
2016-09-28,1102
2016-09-29,1069
2016-09-30,949
2016-10-01,989
2016-10-02,902
2016-10-03,1081
2016-10-04,1781
2016-10-05,1266
2016-10-06,1131
2016-10-07,1062
2016-10-08,1024
2016-10-09,1065
2016-10-10,1169
2016-10-11,1176
2016-10-12,1072
2016-10-13,1118
2016-10-14,1144
2016-10-15,993
2016-10-16,954
2016-10-17,1121
2016-10-18,1102
2016-10-19,1082
2016-10-20,1057
2016-10-21,1072
2016-10-22,1006
2016-10-23,975
2016-10-24,1053
2016-10-25,1040
2016-10-26,1020
2016-10-27,1163
2016-10-28,959
2016-10-29,830
2016-10-30,877
2016-10-31,940
2016-11-01,932
2016-11-02,1019
2016-11-03,1066
2016-11-04,1028
2016-11-05,958
2016-11-06,916
2016-11-07,1037
2016-11-08,1008
2016-11-09,951
2016-11-10,1028
2016-11-11,939
2016-11-12,859
2016-11-13,947
2016-11-14,996
2016-11-15,978
2016-11-16,1062
2016-11-17,1004
