Date,"Rinorrea"
2015-07-01,46
2015-07-02,51
2015-07-03,47
2015-07-04,26
2015-07-05,35
2015-07-06,62
2015-07-07,60
2015-07-08,45
2015-07-09,54
2015-07-10,53
2015-07-11,55
2015-07-12,38
2015-07-13,46
2015-07-14,51
2015-07-15,58
2015-07-16,47
2015-07-17,42
2015-07-18,30
2015-07-19,31
2015-07-20,45
2015-07-21,48
2015-07-22,48
2015-07-23,35
2015-07-24,45
2015-07-25,26
2015-07-26,45
2015-07-27,44
2015-07-28,51
2015-07-29,34
2015-07-30,30
2015-07-31,33
2015-08-01,26
2015-08-02,28
2015-08-03,47
2015-08-04,35
2015-08-05,40
2015-08-06,37
2015-08-07,41
2015-08-08,39
2015-08-09,37
2015-08-10,35
2015-08-11,48
2015-08-12,38
2015-08-13,53
2015-08-14,28
2015-08-15,26
2015-08-16,36
2015-08-17,37
2015-08-18,44
2015-08-19,44
2015-08-20,55
2015-08-21,47
2015-08-22,42
2015-08-23,36
2015-08-24,43
2015-08-25,80
2015-08-26,75
2015-08-27,53
2015-08-28,51
2015-08-29,39
2015-08-30,47
2015-08-31,56
2015-09-01,54
2015-09-02,61
2015-09-03,65
2015-09-04,52
2015-09-05,48
2015-09-06,43
2015-09-07,53
2015-09-08,51
2015-09-09,65
2015-09-10,52
2015-09-11,61
2015-09-12,43
2015-09-13,52
2015-09-14,58
2015-09-15,55
2015-09-16,57
2015-09-17,65
2015-09-18,59
2015-09-19,50
2015-09-20,55
2015-09-21,56
2015-09-22,58
2015-09-23,68
2015-09-24,58
2015-09-25,55
2015-09-26,52
2015-09-27,60
2015-09-28,71
2015-09-29,62
2015-09-30,60
2015-10-01,68
2015-10-02,54
2015-10-03,44
2015-10-04,57
2015-10-05,56
2015-10-06,59
2015-10-07,76
2015-10-08,70
2015-10-09,50
2015-10-10,64
2015-10-11,52
2015-10-12,68
2015-10-13,85
2015-10-14,78
2015-10-15,76
2015-10-16,59
2015-10-17,53
2015-10-18,81
2015-10-19,69
2015-10-20,71
2015-10-21,69
2015-10-22,63
2015-10-23,55
2015-10-24,42
2015-10-25,51
2015-10-26,62
2015-10-27,62
2015-10-28,54
2015-10-29,54
2015-10-30,69
2015-10-31,43
2015-11-01,51
2015-11-02,86
2015-11-03,63
2015-11-04,85
2015-11-05,66
2015-11-06,51
2015-11-07,55
2015-11-08,66
2015-11-09,51
2015-11-10,67
2015-11-11,50
2015-11-12,57
2015-11-13,72
2015-11-14,38
2015-11-15,45
2015-11-16,61
2015-11-17,75
2015-11-18,52
2015-11-19,68
2015-11-20,55
2015-11-21,45
2015-11-22,66
2015-11-23,77
2015-11-24,73
2015-11-25,56
2015-11-26,68
2015-11-27,66
2015-11-28,43
2015-11-29,48
2015-11-30,59
2015-12-01,61
2015-12-02,59
2015-12-03,58
2015-12-04,54
2015-12-05,41
2015-12-06,56
2015-12-07,57
2015-12-08,49
2015-12-09,86
2015-12-10,82
2015-12-11,58
2015-12-12,63
2015-12-13,59
2015-12-14,52
2015-12-15,75
2015-12-16,93
2015-12-17,129
2015-12-18,75
2015-12-19,50
2015-12-20,58
2015-12-21,59
