Date,"Vaccino"
2015-07-01,247
2015-07-02,262
2015-07-03,194
2015-07-04,168
2015-07-05,129
2015-07-06,270
2015-07-07,205
2015-07-08,201
2015-07-09,254
2015-07-10,198
2015-07-11,137
2015-07-12,149
2015-07-13,167
2015-07-14,242
2015-07-15,199
2015-07-16,170
2015-07-17,117
2015-07-18,127
2015-07-19,144
2015-07-20,203
2015-07-21,214
2015-07-22,174
2015-07-23,142
2015-07-24,116
2015-07-25,126
2015-07-26,111
2015-07-27,143
2015-07-28,123
2015-07-29,138
2015-07-30,147
2015-07-31,135
2015-08-01,114
2015-08-02,90
2015-08-03,97
2015-08-04,155
2015-08-05,87
2015-08-06,101
2015-08-07,125
2015-08-08,83
2015-08-09,78
2015-08-10,93
2015-08-11,96
2015-08-12,95
2015-08-13,113
2015-08-14,95
2015-08-15,80
2015-08-16,87
2015-08-17,124
2015-08-18,100
2015-08-19,129
2015-08-20,115
2015-08-21,122
2015-08-22,85
2015-08-23,113
2015-08-24,130
2015-08-25,157
2015-08-26,183
2015-08-27,178
2015-08-28,144
2015-08-29,138
2015-08-30,104
2015-08-31,171
2015-09-01,162
2015-09-02,190
2015-09-03,205
2015-09-04,227
2015-09-05,159
2015-09-06,186
2015-09-07,280
2015-09-08,209
2015-09-09,192
2015-09-10,173
2015-09-11,187
2015-09-12,128
2015-09-13,155
2015-09-14,191
2015-09-15,177
2015-09-16,179
2015-09-17,210
2015-09-18,150
2015-09-19,182
2015-09-20,163
2015-09-21,205
2015-09-22,191
2015-09-23,242
2015-09-24,193
2015-09-25,251
2015-09-26,121
2015-09-27,130
2015-09-28,190
2015-09-29,173
2015-09-30,197
2015-10-01,173
2015-10-02,170
2015-10-03,120
2015-10-04,203
2015-10-05,317
2015-10-06,577
2015-10-07,552
2015-10-08,374
2015-10-09,294
2015-10-10,250
2015-10-11,314
2015-10-12,375
2015-10-13,379
2015-10-14,381
2015-10-15,533
2015-10-16,644
2015-10-17,578
2015-10-18,763
2015-10-19,638
2015-10-20,587
2015-10-21,603
2015-10-22,485
2015-10-23,431
2015-10-24,302
2015-10-25,357
2015-10-26,577
2015-10-27,465
2015-10-28,391
2015-10-29,359
2015-10-30,323
2015-10-31,203
2015-11-01,228
2015-11-02,297
2015-11-03,312
2015-11-04,315
2015-11-05,351
2015-11-06,438
2015-11-07,260
2015-11-08,207
2015-11-09,293
2015-11-10,410
2015-11-11,380
2015-11-12,344
2015-11-13,276
2015-11-14,179
2015-11-15,253
2015-11-16,320
2015-11-17,300
2015-11-18,336
2015-11-19,351
2015-11-20,365
2015-11-21,212
2015-11-22,274
2015-11-23,320
2015-11-24,332
2015-11-25,308
2015-11-26,288
2015-11-27,236
2015-11-28,175
2015-11-29,513
2015-11-30,262
2015-12-01,304
2015-12-02,269
2015-12-03,270
2015-12-04,220
2015-12-05,159
2015-12-06,168
2015-12-07,177
2015-12-08,229
2015-12-09,271
2015-12-10,248
2015-12-11,215
2015-12-12,189
2015-12-13,212
2015-12-14,277
2015-12-15,268
2015-12-16,224
2015-12-17,224
2015-12-18,191
2015-12-19,152
2015-12-20,167
2015-12-21,189
2015-12-22,178
2015-12-23,128
2015-12-24,128
2015-12-25,81
2015-12-26,105
2015-12-27,150
2015-12-28,204
2015-12-29,209
2015-12-30,171
2015-12-31,154
2016-01-01,98
2016-01-02,179
2016-01-03,208
2016-01-04,257
2016-01-05,224
2016-01-06,224
2016-01-07,317
2016-01-08,282
2016-01-09,194
2016-01-10,512
2016-01-11,389
2016-01-12,352
2016-01-13,424
2016-01-14,333
2016-01-15,325
2016-01-16,269
2016-01-17,289
2016-01-18,353
2016-01-19,369
2016-01-20,341
2016-01-21,347
2016-01-22,322
2016-01-23,222
2016-01-24,269
2016-01-25,365
2016-01-26,316
2016-01-27,289
2016-01-28,389
2016-01-29,306
2016-01-30,245
2016-01-31,314
2016-02-01,431
2016-02-02,442
2016-02-03,419
2016-02-04,360
2016-02-05,319
2016-02-06,202
2016-02-07,234
2016-02-08,356
2016-02-09,432
2016-02-10,441
2016-02-11,409
2016-02-12,311
2016-02-13,216
2016-02-14,320
2016-02-15,400
2016-02-16,378
2016-02-17,371
2016-02-18,411
2016-02-19,329
2016-02-20,254
2016-02-21,316
2016-02-22,399
2016-02-23,387
2016-02-24,454
2016-02-25,369
2016-02-26,291
2016-02-27,267
2016-02-28,285
2016-02-29,281
2016-03-01,416
2016-03-02,309
2016-03-03,367
2016-03-04,329
2016-03-05,168
2016-03-06,233
2016-03-07,285
2016-03-08,373
2016-03-09,271
2016-03-10,294
2016-03-11,288
2016-03-12,170
2016-03-13,214
2016-03-14,282
2016-03-15,391
2016-03-16,278
2016-03-17,268
2016-03-18,272
2016-03-19,158
2016-03-20,205
2016-03-21,313
2016-03-22,218
2016-03-23,254
2016-03-24,223
2016-03-25,203
2016-03-26,188
2016-03-27,164
2016-03-28,180
2016-03-29,290
2016-03-30,347
2016-03-31,300
2016-04-01,258
2016-04-02,242
2016-04-03,212
2016-04-04,321
2016-04-05,293
2016-04-06,356
2016-04-07,321
2016-04-08,275
2016-04-09,236
2016-04-10,231
2016-04-11,290
2016-04-12,295
2016-04-13,283
2016-04-14,371
2016-04-15,204
2016-04-16,225
2016-04-17,217
2016-04-18,314
2016-04-19,305
2016-04-20,277
2016-04-21,290
2016-04-22,219
2016-04-23,178
2016-04-24,178
2016-04-25,210
2016-04-26,301
2016-04-27,341
2016-04-28,344
2016-04-29,258
2016-04-30,202
2016-05-01,204
2016-05-02,297
2016-05-03,353
2016-05-04,348
2016-05-05,314
2016-05-06,213
2016-05-07,217
2016-05-08,211
2016-05-09,321
2016-05-10,343
2016-05-11,377
2016-05-12,377
2016-05-13,384
2016-05-14,342
2016-05-15,365
2016-05-16,515
2016-05-17,568
2016-05-18,458
2016-05-19,503
2016-05-20,385
2016-05-21,260
2016-05-22,322
2016-05-23,437
2016-05-24,379
2016-05-25,424
2016-05-26,381
2016-05-27,325
2016-05-28,253
2016-05-29,295
2016-05-30,389
2016-05-31,423
2016-06-01,466
2016-06-02,506
2016-06-03,352
2016-06-04,282
2016-06-05,262
2016-06-06,368
2016-06-07,338
2016-06-08,330
2016-06-09,368
2016-06-10,274
2016-06-11,229
2016-06-12,277
2016-06-13,295
2016-06-14,373
2016-06-15,304
2016-06-16,302
2016-06-17,242
2016-06-18,222
2016-06-19,265
2016-06-20,370
2016-06-21,307
2016-06-22,241
