Date,"Vomito"
2015-07-01,226
2015-07-02,211
2015-07-03,262
2015-07-04,231
2015-07-05,265
2015-07-06,268
2015-07-07,243
2015-07-08,239
2015-07-09,217
2015-07-10,247
2015-07-11,213
2015-07-12,259
2015-07-13,261
2015-07-14,218
2015-07-15,241
2015-07-16,248
2015-07-17,254
2015-07-18,213
2015-07-19,277
2015-07-20,283
2015-07-21,213
2015-07-22,235
2015-07-23,190
2015-07-24,216
2015-07-25,214
2015-07-26,266
2015-07-27,288
2015-07-28,265
2015-07-29,224
2015-07-30,233
2015-07-31,209
2015-08-01,190
2015-08-02,202
2015-08-03,200
2015-08-04,216
2015-08-05,219
2015-08-06,189
2015-08-07,200
2015-08-08,193
2015-08-09,224
2015-08-10,212
2015-08-11,214
2015-08-12,236
2015-08-13,183
2015-08-14,196
2015-08-15,193
2015-08-16,271
2015-08-17,228
2015-08-18,245
2015-08-19,241
2015-08-20,258
2015-08-21,220
2015-08-22,201
2015-08-23,253
2015-08-24,244
2015-08-25,274
2015-08-26,259
2015-08-27,274
2015-08-28,279
2015-08-29,229
2015-08-30,244
2015-08-31,273
2015-09-01,260
2015-09-02,210
2015-09-03,261
2015-09-04,230
2015-09-05,255
2015-09-06,285
2015-09-07,268
2015-09-08,245
2015-09-09,215
2015-09-10,217
2015-09-11,240
2015-09-12,241
2015-09-13,227
2015-09-14,231
2015-09-15,263
2015-09-16,211
2015-09-17,173
2015-09-18,193
2015-09-19,209
2015-09-20,246
2015-09-21,228
2015-09-22,220
2015-09-23,209
2015-09-24,244
2015-09-25,240
2015-09-26,279
2015-09-27,233
2015-09-28,247
2015-09-29,217
2015-09-30,242
2015-10-01,212
2015-10-02,202
2015-10-03,186
2015-10-04,218
2015-10-05,262
2015-10-06,226
2015-10-07,197
2015-10-08,232
2015-10-09,181
2015-10-10,241
2015-10-11,250
2015-10-12,274
2015-10-13,228
2015-10-14,271
2015-10-15,199
2015-10-16,243
2015-10-17,223
2015-10-18,253
2015-10-19,270
2015-10-20,221
2015-10-21,230
2015-10-22,215
2015-10-23,198
2015-10-24,194
2015-10-25,255
2015-10-26,261
2015-10-27,237
2015-10-28,266
2015-10-29,239
2015-10-30,238
2015-10-31,256
2015-11-01,282
2015-11-02,260
2015-11-03,255
2015-11-04,263
2015-11-05,272
2015-11-06,208
2015-11-07,253
2015-11-08,303
2015-11-09,328
2015-11-10,290
2015-11-11,249
2015-11-12,291
2015-11-13,242
2015-11-14,239
2015-11-15,245
2015-11-16,285
2015-11-17,250
2015-11-18,258
2015-11-19,282
2015-11-20,237
2015-11-21,219
2015-11-22,312
2015-11-23,271
2015-11-24,292
2015-11-25,294
2015-11-26,269
2015-11-27,244
2015-11-28,220
2015-11-29,295
2015-11-30,287
2015-12-01,248
2015-12-02,253
2015-12-03,299
2015-12-04,247
2015-12-05,219
2015-12-06,273
2015-12-07,245
2015-12-08,276
2015-12-09,296
2015-12-10,229
2015-12-11,255
2015-12-12,290
2015-12-13,318
2015-12-14,299
2015-12-15,232
2015-12-16,257
2015-12-17,265
2015-12-18,246
2015-12-19,262
2015-12-20,262
2015-12-21,262
2015-12-22,283
2015-12-23,241
2015-12-24,216
2015-12-25,286
2015-12-26,354
2015-12-27,345
2015-12-28,344
2015-12-29,292
2015-12-30,302
2015-12-31,235
2016-01-01,427
2016-01-02,390
2016-01-03,360
2016-01-04,381
2016-01-05,338
2016-01-06,348
2016-01-07,332
2016-01-08,308
2016-01-09,313
2016-01-10,338
2016-01-11,329
2016-01-12,315
2016-01-13,291
2016-01-14,301
2016-01-15,261
2016-01-16,279
2016-01-17,318
2016-01-18,340
2016-01-19,324
2016-01-20,261
2016-01-21,306
2016-01-22,306
2016-01-23,276
2016-01-24,342
2016-01-25,329
2016-01-26,343
2016-01-27,288
2016-01-28,275
2016-01-29,290
2016-01-30,290
2016-01-31,336
2016-02-01,354
2016-02-02,343
2016-02-03,303
2016-02-04,284
2016-02-05,309
2016-02-06,282
2016-02-07,307
2016-02-08,335
2016-02-09,331
2016-02-10,277
2016-02-11,273
2016-02-12,265
2016-02-13,256
2016-02-14,298
2016-02-15,313
2016-02-16,349
2016-02-17,326
2016-02-18,316
