Date,"Asma"
2015-07-01,275
2015-07-02,280
2015-07-03,281
2015-07-04,269
2015-07-05,262
2015-07-06,256
2015-07-07,265
2015-07-08,334
2015-07-09,309
2015-07-10,230
2015-07-11,214
2015-07-12,226
2015-07-13,335
2015-07-14,314
2015-07-15,280
2015-07-16,321
2015-07-17,236
2015-07-18,181
2015-07-19,251
2015-07-20,291
2015-07-21,240
2015-07-22,221
2015-07-23,263
2015-07-24,229
2015-07-25,193
2015-07-26,198
2015-07-27,286
2015-07-28,256
2015-07-29,221
2015-07-30,190
2015-07-31,210
2015-08-01,167
2015-08-02,152
2015-08-03,204
2015-08-04,192
2015-08-05,191
2015-08-06,193
2015-08-07,149
2015-08-08,161
2015-08-09,148
2015-08-10,191
2015-08-11,214
2015-08-12,197
2015-08-13,184
2015-08-14,175
2015-08-15,188
2015-08-16,212
2015-08-17,223
2015-08-18,248
2015-08-19,231
2015-08-20,251
2015-08-21,230
2015-08-22,209
2015-08-23,178
2015-08-24,255
2015-08-25,260
2015-08-26,258
2015-08-27,267
2015-08-28,231
2015-08-29,181
2015-08-30,185
2015-08-31,265
2015-09-01,287
2015-09-02,272
2015-09-03,281
2015-09-04,284
2015-09-05,262
2015-09-06,227
2015-09-07,301
2015-09-08,275
2015-09-09,289
2015-09-10,314
2015-09-11,270
2015-09-12,223
2015-09-13,236
2015-09-14,361
2015-09-15,333
2015-09-16,340
2015-09-17,265
2015-09-18,285
2015-09-19,234
2015-09-20,262
2015-09-21,340
2015-09-22,314
2015-09-23,318
2015-09-24,299
2015-09-25,274
2015-09-26,289
2015-09-27,277
2015-09-28,510
2015-09-29,379
2015-09-30,316
2015-10-01,269
2015-10-02,336
2015-10-03,263
2015-10-04,234
2015-10-05,392
2015-10-06,375
2015-10-07,336
2015-10-08,351
2015-10-09,333
2015-10-10,267
2015-10-11,225
2015-10-12,332
2015-10-13,350
2015-10-14,327
2015-10-15,295
2015-10-16,286
2015-10-17,237
2015-10-18,286
2015-10-19,307
2015-10-20,318
2015-10-21,284
2015-10-22,301
2015-10-23,253
2015-10-24,248
2015-10-25,276
2015-10-26,323
2015-10-27,392
2015-10-28,349
2015-10-29,317
2015-10-30,273
2015-10-31,208
2015-11-01,260
2015-11-02,304
2015-11-03,306
2015-11-04,307
2015-11-05,319
2015-11-06,319
2015-11-07,250
2015-11-08,262
2015-11-09,378
2015-11-10,394
2015-11-11,383
2015-11-12,309
2015-11-13,282
2015-11-14,195
2015-11-15,236
2015-11-16,281
2015-11-17,324
2015-11-18,346
2015-11-19,300
2015-11-20,279
2015-11-21,255
2015-11-22,256
2015-11-23,316
2015-11-24,289
2015-11-25,323
2015-11-26,277
2015-11-27,313
2015-11-28,249
2015-11-29,276
2015-11-30,340
2015-12-01,313
2015-12-02,319
2015-12-03,299
2015-12-04,264
2015-12-05,222
2015-12-06,251
2015-12-07,290
2015-12-08,292
2015-12-09,320
2015-12-10,328
2015-12-11,314
2015-12-12,256
2015-12-13,299
2015-12-14,378
2015-12-15,353
2015-12-16,351
2015-12-17,331
2015-12-18,281
2015-12-19,269
2015-12-20,325
2015-12-21,276
2015-12-22,278
2015-12-23,222
2015-12-24,157
2015-12-25,160
2015-12-26,237
2015-12-27,239
2015-12-28,353
2015-12-29,359
2015-12-30,306
2015-12-31,189
2016-01-01,194
2016-01-02,286
2016-01-03,305
2016-01-04,385
2016-01-05,372
2016-01-06,305
2016-01-07,405
2016-01-08,365
2016-01-09,300
2016-01-10,374
2016-01-11,410
2016-01-12,424
2016-01-13,371
2016-01-14,461
2016-01-15,332
2016-01-16,327
2016-01-17,342
2016-01-18,420
2016-01-19,410
2016-01-20,317
2016-01-21,379
2016-01-22,375
2016-01-23,301
2016-01-24,325
2016-01-25,418
2016-01-26,417
2016-01-27,436
2016-01-28,392
2016-01-29,380
2016-01-30,325
2016-01-31,358
2016-02-01,396
2016-02-02,463
2016-02-03,425
2016-02-04,353
2016-02-05,336
2016-02-06,297
2016-02-07,348
2016-02-08,382
2016-02-09,404
2016-02-10,446
2016-02-11,378
2016-02-12,378
2016-02-13,356
2016-02-14,333
2016-02-15,478
2016-02-16,462
2016-02-17,428
2016-02-18,403
2016-02-19,395
2016-02-20,324
2016-02-21,362
2016-02-22,412
2016-02-23,425
2016-02-24,435
2016-02-25,426
2016-02-26,358
2016-02-27,327
2016-02-28,338
2016-02-29,383
2016-03-01,401
2016-03-02,351
2016-03-03,380
2016-03-04,349
2016-03-05,325
2016-03-06,345
2016-03-07,407
2016-03-08,348
2016-03-09,338
2016-03-10,328
2016-03-11,314
2016-03-12,254
2016-03-13,293
2016-03-14,342
2016-03-15,380
2016-03-16,413
2016-03-17,410
2016-03-18,301
2016-03-19,269
2016-03-20,302
2016-03-21,384
2016-03-22,345
2016-03-23,334
2016-03-24,299
2016-03-25,333
2016-03-26,251
2016-03-27,272
2016-03-28,286
2016-03-29,407
2016-03-30,388
2016-03-31,390
2016-04-01,398
2016-04-02,328
2016-04-03,345
2016-04-04,399
2016-04-05,427
2016-04-06,426
2016-04-07,439
2016-04-08,387
2016-04-09,360
2016-04-10,374
2016-04-11,489
2016-04-12,488
2016-04-13,493
2016-04-14,454
2016-04-15,395
2016-04-16,352
2016-04-17,381
2016-04-18,445
2016-04-19,417
2016-04-20,423
2016-04-21,382
2016-04-22,373
2016-04-23,330
2016-04-24,348
2016-04-25,330
2016-04-26,378
2016-04-27,407
2016-04-28,396
2016-04-29,381
2016-04-30,283
2016-05-01,373
2016-05-02,377
2016-05-03,359
2016-05-04,375
2016-05-05,370
2016-05-06,307
2016-05-07,288
2016-05-08,295
2016-05-09,414
2016-05-10,389
2016-05-11,401
2016-05-12,388
2016-05-13,373
2016-05-14,278
2016-05-15,290
2016-05-16,393
2016-05-17,333
2016-05-18,365
2016-05-19,387
2016-05-20,329
2016-05-21,255
2016-05-22,339
2016-05-23,423
2016-05-24,392
2016-05-25,358
2016-05-26,366
2016-05-27,348
2016-05-28,238
2016-05-29,321
2016-05-30,384
2016-05-31,343
2016-06-01,297
2016-06-02,374
2016-06-03,340
2016-06-04,273
2016-06-05,312
2016-06-06,363
2016-06-07,355
2016-06-08,377
2016-06-09,341
2016-06-10,329
2016-06-11,276
2016-06-12,287
2016-06-13,293
2016-06-14,366
2016-06-15,357
2016-06-16,385
2016-06-17,255
2016-06-18,231
2016-06-19,284
2016-06-20,355
2016-06-21,328
2016-06-22,294
2016-06-23,303
2016-06-24,268
2016-06-25,242
2016-06-26,260
2016-06-27,295
2016-06-28,302
2016-06-29,286
2016-06-30,283
2016-07-01,328
2016-07-02,195
2016-07-03,218
2016-07-04,317
2016-07-05,323
2016-07-06,291
2016-07-07,260
2016-07-08,343
2016-07-09,340
2016-07-10,259
2016-07-11,323
2016-07-12,304
2016-07-13,283
2016-07-14,317
2016-07-15,256
2016-07-16,228
2016-07-17,261
2016-07-18,301
2016-07-19,291
2016-07-20,246
2016-07-21,241
2016-07-22,278
2016-07-23,263
2016-07-24,209
2016-07-25,217
2016-07-26,287
2016-07-27,276
2016-07-28,172
2016-07-29,179
2016-07-30,144
2016-07-31,184
2016-08-01,250
2016-08-02,230
2016-08-03,207
2016-08-04,186
2016-08-05,208
2016-08-06,155
2016-08-07,175
2016-08-08,203
2016-08-09,225
2016-08-10,210
2016-08-11,220
2016-08-12,174
2016-08-13,154
2016-08-14,139
2016-08-15,193
2016-08-16,228
2016-08-17,233
2016-08-18,196
2016-08-19,225
2016-08-20,228
2016-08-21,194
2016-08-22,274
2016-08-23,256
2016-08-24,232
2016-08-25,220
2016-08-26,252
2016-08-27,199
2016-08-28,208
2016-08-29,293
2016-08-30,301
2016-08-31,286
2016-09-01,269
2016-09-02,264
2016-09-03,219
2016-09-04,237
2016-09-05,293
2016-09-06,328
2016-09-07,280
2016-09-08,328
2016-09-09,288
