Date,"Croup"
2015-07-01,62
2015-07-02,55
2015-07-03,46
2015-07-04,42
2015-07-05,30
2015-07-06,49
2015-07-07,51
2015-07-08,47
2015-07-09,37
2015-07-10,36
2015-07-11,34
2015-07-12,28
2015-07-13,46
2015-07-14,43
2015-07-15,48
2015-07-16,57
2015-07-17,39
2015-07-18,47
2015-07-19,49
2015-07-20,60
2015-07-21,50
2015-07-22,40
2015-07-23,42
2015-07-24,55
2015-07-25,47
2015-07-26,36
2015-07-27,63
2015-07-28,55
2015-07-29,70
2015-07-30,48
2015-07-31,31
2015-08-01,36
2015-08-02,27
2015-08-03,40
2015-08-04,42
2015-08-05,36
2015-08-06,34
2015-08-07,28
2015-08-08,16
2015-08-09,25
2015-08-10,28
2015-08-11,30
2015-08-12,30
2015-08-13,29
2015-08-14,25
2015-08-15,30
2015-08-16,37
2015-08-17,37
2015-08-18,31
2015-08-19,43
2015-08-20,34
2015-08-21,33
2015-08-22,29
2015-08-23,35
2015-08-24,42
2015-08-25,48
2015-08-26,52
2015-08-27,42
2015-08-28,29
2015-08-29,23
2015-08-30,16
2015-08-31,42
2015-09-01,45
2015-09-02,52
2015-09-03,46
2015-09-04,36
2015-09-05,65
2015-09-06,50
2015-09-07,36
2015-09-08,50
2015-09-09,56
2015-09-10,51
2015-09-11,50
2015-09-12,44
2015-09-13,46
2015-09-14,34
2015-09-15,51
2015-09-16,45
2015-09-17,47
2015-09-18,54
2015-09-19,61
2015-09-20,68
2015-09-21,66
2015-09-22,51
2015-09-23,49
2015-09-24,60
2015-09-25,35
2015-09-26,61
2015-09-27,39
2015-09-28,60
2015-09-29,41
2015-09-30,57
2015-10-01,37
2015-10-02,33
2015-10-03,45
2015-10-04,66
2015-10-05,55
2015-10-06,75
2015-10-07,63
2015-10-08,68
2015-10-09,66
2015-10-10,37
2015-10-11,51
2015-10-12,66
2015-10-13,69
2015-10-14,62
2015-10-15,56
2015-10-16,55
2015-10-17,54
2015-10-18,52
2015-10-19,59
2015-10-20,45
2015-10-21,80
2015-10-22,73
2015-10-23,49
2015-10-24,57
2015-10-25,52
2015-10-26,69
2015-10-27,70
2015-10-28,55
2015-10-29,68
2015-10-30,51
2015-10-31,46
2015-11-01,52
2015-11-02,41
2015-11-03,73
2015-11-04,52
2015-11-05,72
2015-11-06,57
2015-11-07,37
2015-11-08,48
2015-11-09,35
2015-11-10,48
2015-11-11,68
2015-11-12,60
2015-11-13,80
2015-11-14,48
2015-11-15,36
2015-11-16,47
2015-11-17,55
2015-11-18,50
2015-11-19,47
2015-11-20,45
2015-11-21,47
2015-11-22,42
2015-11-23,63
2015-11-24,44
2015-11-25,49
2015-11-26,48
2015-11-27,59
2015-11-28,41
2015-11-29,78
2015-11-30,62
2015-12-01,91
2015-12-02,68
2015-12-03,59
2015-12-04,56
2015-12-05,42
2015-12-06,48
2015-12-07,65
2015-12-08,50
2015-12-09,81
2015-12-10,55
2015-12-11,66
2015-12-12,87
2015-12-13,61
2015-12-14,49
2015-12-15,47
2015-12-16,68
2015-12-17,68
2015-12-18,51
2015-12-19,40
2015-12-20,58
2015-12-21,65
2015-12-22,55
2015-12-23,44
2015-12-24,40
2015-12-25,44
2015-12-26,42
2015-12-27,50
2015-12-28,49
2015-12-29,46
2015-12-30,60
2015-12-31,35
2016-01-01,44
2016-01-02,56
2016-01-03,52
2016-01-04,48
2016-01-05,49
2016-01-06,66
2016-01-07,48
2016-01-08,58
2016-01-09,73
2016-01-10,89
2016-01-11,64
2016-01-12,66
2016-01-13,68
2016-01-14,68
2016-01-15,60
2016-01-16,46
2016-01-17,63
2016-01-18,82
2016-01-19,65
2016-01-20,64
2016-01-21,77
2016-01-22,56
2016-01-23,64
2016-01-24,63
