Date,"Influenza"
2015-07-01,121
2015-07-02,94
2015-07-03,103
2015-07-04,76
2015-07-05,99
2015-07-06,99
2015-07-07,97
2015-07-08,98
2015-07-09,87
2015-07-10,98
2015-07-11,74
2015-07-12,89
2015-07-13,146
2015-07-14,110
2015-07-15,101
2015-07-16,84
2015-07-17,55
2015-07-18,60
2015-07-19,90
2015-07-20,75
2015-07-21,104
2015-07-22,88
2015-07-23,82
2015-07-24,86
2015-07-25,58
2015-07-26,91
2015-07-27,94
2015-07-28,82
2015-07-29,93
2015-07-30,108
2015-07-31,65
2015-08-01,50
2015-08-02,62
2015-08-03,58
2015-08-04,56
2015-08-05,57
2015-08-06,87
2015-08-07,56
2015-08-08,72
2015-08-09,98
2015-08-10,173
2015-08-11,112
2015-08-12,93
2015-08-13,218
2015-08-14,100
2015-08-15,133
2015-08-16,78
2015-08-17,113
2015-08-18,114
2015-08-19,162
2015-08-20,169
2015-08-21,220
2015-08-22,170
2015-08-23,173
2015-08-24,262
2015-08-25,117
2015-08-26,237
2015-08-27,176
2015-08-28,154
2015-08-29,161
2015-08-30,149
2015-08-31,183
2015-09-01,321
2015-09-02,193
2015-09-03,331
2015-09-04,200
2015-09-05,141
2015-09-06,171
2015-09-07,213
2015-09-08,202
2015-09-09,143
2015-09-10,134
2015-09-11,108
2015-09-12,110
2015-09-13,101
2015-09-14,143
2015-09-15,161
2015-09-16,158
2015-09-17,150
2015-09-18,143
2015-09-19,101
2015-09-20,134
2015-09-21,183
2015-09-22,185
2015-09-23,180
2015-09-24,173
2015-09-25,143
2015-09-26,148
2015-09-27,166
2015-09-28,229
2015-09-29,214
2015-09-30,261
2015-10-01,196
2015-10-02,217
2015-10-03,172
2015-10-04,214
2015-10-05,215
2015-10-06,229
2015-10-07,221
2015-10-08,202
2015-10-09,208
2015-10-10,238
2015-10-11,206
2015-10-12,248
2015-10-13,232
2015-10-14,219
2015-10-15,203
2015-10-16,176
2015-10-17,166
2015-10-18,156
2015-10-19,215
2015-10-20,218
2015-10-21,215
2015-10-22,166
2015-10-23,172
2015-10-24,178
2015-10-25,153
2015-10-26,171
2015-10-27,200
2015-10-28,213
2015-10-29,191
2015-10-30,164
2015-10-31,133
2015-11-01,154
2015-11-02,165
2015-11-03,174
2015-11-04,225
2015-11-05,226
2015-11-06,177
2015-11-07,177
2015-11-08,192
2015-11-09,199
2015-11-10,243
2015-11-11,200
2015-11-12,200
2015-11-13,178
2015-11-14,129
2015-11-15,149
2015-11-16,209
2015-11-17,191
2015-11-18,217
2015-11-19,200
2015-11-20,166
2015-11-21,150
2015-11-22,164
2015-11-23,252
2015-11-24,254
2015-11-25,208
2015-11-26,211
2015-11-27,189
2015-11-28,180
2015-11-29,183
2015-11-30,223
2015-12-01,213
2015-12-02,258
2015-12-03,230
2015-12-04,160
2015-12-05,173
2015-12-06,164
2015-12-07,172
2015-12-08,230
2015-12-09,300
2015-12-10,238
2015-12-11,230
2015-12-12,170
2015-12-13,158
2015-12-14,189
2015-12-15,227
2015-12-16,257
2015-12-17,218
2015-12-18,153
2015-12-19,182
2015-12-20,252
2015-12-21,244
2015-12-22,203
2015-12-23,164
2015-12-24,138
2015-12-25,147
2015-12-26,190
2015-12-27,229
2015-12-28,275
2015-12-29,255
2015-12-30,237
2015-12-31,169
2016-01-01,152
2016-01-02,260
2016-01-03,245
2016-01-04,280
2016-01-05,307
2016-01-06,255
2016-01-07,307
2016-01-08,328
2016-01-09,259
2016-01-10,274
2016-01-11,303
2016-01-12,312
2016-01-13,337
2016-01-14,281
2016-01-15,294
2016-01-16,248
2016-01-17,236
2016-01-18,357
2016-01-19,288
2016-01-20,272
2016-01-21,284
2016-01-22,265
2016-01-23,211
2016-01-24,290
2016-01-25,289
2016-01-26,304
2016-01-27,327
2016-01-28,333
2016-01-29,292
2016-01-30,295
2016-01-31,249
2016-02-01,357
2016-02-02,373
2016-02-03,378
2016-02-04,345
2016-02-05,315
2016-02-06,268
2016-02-07,297
2016-02-08,348
2016-02-09,373
2016-02-10,359
2016-02-11,368
2016-02-12,312
2016-02-13,279
2016-02-14,304
2016-02-15,385
2016-02-16,427
2016-02-17,373
2016-02-18,333
2016-02-19,324
2016-02-20,250
2016-02-21,277
2016-02-22,362
2016-02-23,314
2016-02-24,408
2016-02-25,330
2016-02-26,292
2016-02-27,287
2016-02-28,242
2016-02-29,293
2016-03-01,328
2016-03-02,307
2016-03-03,295
2016-03-04,270
2016-03-05,245
2016-03-06,287
2016-03-07,312
2016-03-08,295
2016-03-09,309
2016-03-10,268
2016-03-11,225
2016-03-12,213
2016-03-13,204
2016-03-14,286
2016-03-15,276
2016-03-16,307
2016-03-17,294
2016-03-18,253
2016-03-19,236
2016-03-20,280
2016-03-21,318
2016-03-22,264
2016-03-23,254
2016-03-24,241
2016-03-25,261
2016-03-26,182
2016-03-27,195
2016-03-28,218
2016-03-29,252
2016-03-30,453
2016-03-31,285
2016-04-01,212
2016-04-02,199
2016-04-03,214
2016-04-04,225
2016-04-05,220
2016-04-06,231
2016-04-07,217
2016-04-08,192
2016-04-09,156
2016-04-10,184
2016-04-11,205
2016-04-12,235
2016-04-13,205
2016-04-14,165
2016-04-15,173
2016-04-16,129
2016-04-17,116
2016-04-18,211
2016-04-19,185
2016-04-20,142
2016-04-21,201
2016-04-22,154
2016-04-23,115
2016-04-24,192
2016-04-25,142
2016-04-26,198
2016-04-27,174
2016-04-28,205
2016-04-29,147
2016-04-30,105
2016-05-01,140
2016-05-02,177
2016-05-03,178
2016-05-04,142
2016-05-05,173
2016-05-06,145
2016-05-07,166
2016-05-08,113
2016-05-09,162
2016-05-10,170
2016-05-11,227
2016-05-12,199
2016-05-13,145
2016-05-14,137
2016-05-15,128
2016-05-16,140
2016-05-17,187
2016-05-18,171
2016-05-19,180
2016-05-20,152
2016-05-21,139
2016-05-22,133
2016-05-23,228
2016-05-24,134
2016-05-25,163
2016-05-26,154
2016-05-27,140
2016-05-28,120
2016-05-29,146
2016-05-30,155
2016-05-31,168
2016-06-01,135
2016-06-02,124
2016-06-03,172
2016-06-04,140
2016-06-05,152
2016-06-06,121
2016-06-07,146
2016-06-08,155
2016-06-09,137
2016-06-10,126
2016-06-11,109
2016-06-12,118
2016-06-13,147
2016-06-14,121
2016-06-15,169
2016-06-16,142
2016-06-17,81
2016-06-18,94
2016-06-19,125
2016-06-20,162
2016-06-21,168
2016-06-22,134
2016-06-23,111
2016-06-24,90
2016-06-25,88
2016-06-26,89
2016-06-27,99
2016-06-28,99
2016-06-29,94
2016-06-30,100
2016-07-01,112
2016-07-02,90
2016-07-03,113
2016-07-04,160
2016-07-05,135
2016-07-06,117
2016-07-07,130
2016-07-08,128
2016-07-09,94
2016-07-10,84
2016-07-11,130
2016-07-12,165
2016-07-13,101
2016-07-14,119
2016-07-15,129
2016-07-16,94
2016-07-17,114
2016-07-18,116
2016-07-19,102
2016-07-20,127
2016-07-21,116
2016-07-22,71
2016-07-23,72
2016-07-24,60
2016-07-25,84
2016-07-26,108
2016-07-27,120
2016-07-28,91
2016-07-29,45
2016-07-30,48
2016-07-31,51
2016-08-01,68
2016-08-02,89
2016-08-03,72
2016-08-04,68
2016-08-05,68
2016-08-06,106
2016-08-07,57
2016-08-08,59
2016-08-09,117
2016-08-10,75
2016-08-11,67
2016-08-12,70
2016-08-13,127
2016-08-14,96
2016-08-15,69
2016-08-16,65
2016-08-17,65
2016-08-18,102
2016-08-19,88
2016-08-20,90
2016-08-21,69
2016-08-22,105
2016-08-23,107
2016-08-24,112
2016-08-25,134
2016-08-26,96
2016-08-27,78
2016-08-28,91
2016-08-29,145
2016-08-30,156
2016-08-31,130
2016-09-01,134
2016-09-02,158
2016-09-03,109
2016-09-04,93
2016-09-05,136
2016-09-06,132
