Date,"Mialgia"
2015-07-01,187
2015-07-02,160
2015-07-03,136
2015-07-04,130
2015-07-05,123
2015-07-06,163
2015-07-07,152
2015-07-08,133
2015-07-09,148
2015-07-10,131
2015-07-11,128
2015-07-12,113
2015-07-13,175
2015-07-14,134
2015-07-15,132
2015-07-16,116
2015-07-17,134
2015-07-18,116
2015-07-19,108
2015-07-20,145
2015-07-21,132
2015-07-22,135
2015-07-23,129
2015-07-24,128
2015-07-25,101
2015-07-26,98
2015-07-27,138
2015-07-28,145
2015-07-29,127
2015-07-30,142
2015-07-31,118
2015-08-01,81
2015-08-02,111
2015-08-03,115
2015-08-04,128
2015-08-05,135
2015-08-06,128
2015-08-07,132
2015-08-08,96
2015-08-09,118
2015-08-10,130
2015-08-11,157
2015-08-12,144
2015-08-13,132
2015-08-14,117
2015-08-15,113
2015-08-16,125
2015-08-17,149
2015-08-18,133
2015-08-19,139
2015-08-20,154
2015-08-21,113
2015-08-22,105
2015-08-23,120
2015-08-24,153
2015-08-25,200
2015-08-26,193
2015-08-27,170
2015-08-28,189
2015-08-29,129
2015-08-30,125
2015-08-31,154
2015-09-01,154
2015-09-02,162
2015-09-03,149
2015-09-04,151
2015-09-05,129
2015-09-06,132
2015-09-07,161
2015-09-08,150
2015-09-09,127
2015-09-10,172
2015-09-11,140
2015-09-12,109
2015-09-13,117
2015-09-14,122
2015-09-15,178
2015-09-16,113
2015-09-17,126
2015-09-18,151
2015-09-19,122
2015-09-20,116
2015-09-21,136
2015-09-22,127
2015-09-23,132
2015-09-24,123
2015-09-25,121
2015-09-26,116
2015-09-27,98
2015-09-28,128
2015-09-29,104
2015-09-30,160
2015-10-01,141
2015-10-02,123
2015-10-03,134
2015-10-04,120
2015-10-05,147
2015-10-06,151
2015-10-07,148
2015-10-08,219
2015-10-09,164
2015-10-10,148
2015-10-11,125
2015-10-12,187
2015-10-13,165
2015-10-14,160
2015-10-15,152
2015-10-16,161
2015-10-17,141
2015-10-18,140
2015-10-19,140
2015-10-20,183
2015-10-21,173
2015-10-22,146
2015-10-23,126
2015-10-24,105
2015-10-25,107
2015-10-26,135
2015-10-27,138
2015-10-28,158
2015-10-29,138
2015-10-30,140
2015-10-31,93
2015-11-01,142
2015-11-02,183
2015-11-03,150
2015-11-04,179
2015-11-05,165
2015-11-06,144
