Date,"Pagina principale"
2015-07-01,1717904
2015-07-02,1720761
2015-07-03,1700260
2015-07-04,1645230
2015-07-05,1630714
2015-07-06,1710994
2015-07-07,1701964
2015-07-08,1700310
2015-07-09,1685039
2015-07-10,1693882
2015-07-11,1621162
2015-07-12,1613378
2015-07-13,1700131
2015-07-14,1697234
2015-07-15,1687277
2015-07-16,1677657
2015-07-17,1655212
2015-07-18,1593680
2015-07-19,1594630
2015-07-20,1672209
2015-07-21,1667629
2015-07-22,1670687
2015-07-23,1670038
2015-07-24,1657910
2015-07-25,1609736
2015-07-26,1603282
2015-07-27,1674026
2015-07-28,1668059
2015-07-29,1660276
2015-07-30,1653073
2015-07-31,1634492
2015-08-01,1604814
2015-08-02,1575081
2015-08-03,1490501
2015-08-04,1630564
2015-08-05,1615263
2015-08-06,1612277
2015-08-07,1602420
2015-08-08,1554461
2015-08-09,1549335
2015-08-10,1546845
2015-08-11,1555368
2015-08-12,1576359
2015-08-13,1569158
2015-08-14,1552818
2015-08-15,1511931
2015-08-16,1577778
2015-08-17,1601543
2015-08-18,1605744
2015-08-19,1620688
2015-08-20,1614163
2015-08-21,1619310
2015-08-22,1588076
2015-08-23,1611195
2015-08-24,1677376
2015-08-25,1673215
2015-08-26,1660894
2015-08-27,1660521
2015-08-28,1714541
2015-08-29,1610797
2015-08-30,1620270
2015-08-31,1707787
2015-09-01,1692538
2015-09-02,1700151
2015-09-03,1697054
2015-09-04,1684989
2015-09-05,1647468
2015-09-06,1638219
2015-09-07,1704517
2015-09-08,1696893
2015-09-09,1687771
2015-09-10,1682640
2015-09-11,1676794
2015-09-12,1618928
2015-09-13,1643312
2015-09-14,1683806
2015-09-15,1676195
2015-09-16,1647012
2015-09-17,1637784
2015-09-18,1620468
2015-09-19,1595410
2015-09-20,1619381
2015-09-21,1661639
2015-09-22,1662581
2015-09-23,1657706
2015-09-24,1648329
2015-09-25,1627549
2015-09-26,1603592
2015-09-27,1614350
2015-09-28,1657312
2015-09-29,1645044
2015-09-30,1647553
2015-10-01,1669327
2015-10-02,1655223
2015-10-03,1611356
2015-10-04,1623003
2015-10-05,1663911
2015-10-06,1661975
2015-10-07,1644172
2015-10-08,1636780
2015-10-09,1630367
2015-10-10,1617747
2015-10-11,1619329
2015-10-12,1654106
2015-10-13,1658960
2015-10-14,1663945
2015-10-15,1655273
2015-10-16,1632052
2015-10-17,1605477
2015-10-18,1623037
2015-10-19,1650347
2015-10-20,1640683
2015-10-21,1632815
2015-10-22,1629687
2015-10-23,1614076
2015-10-24,1579282
2015-10-25,1548614
2015-10-26,1619359
2015-10-27,1622630
2015-10-28,1617376
2015-10-29,1611845
2015-10-30,1594523
2015-10-31,1567102
2015-11-01,1584622
2015-11-02,1651150
2015-11-03,1622930
2015-11-04,1620039
2015-11-05,1620713
2015-11-06,1603175
2015-11-07,1571287
2015-11-08,1588447
2015-11-09,1635794
2015-11-10,1626884
2015-11-11,1622050
2015-11-12,1612609
2015-11-13,1606334
2015-11-14,1584603
2015-11-15,1616220
2015-11-16,1639338
2015-11-17,1644341
2015-11-18,1623903
2015-11-19,1626033
2015-11-20,1616231
2015-11-21,1598851
2015-11-22,1605671
2015-11-23,1636033
2015-11-24,1620446
2015-11-25,1613222
2015-11-26,1618273
2015-11-27,1603950
2015-11-28,1576654
2015-11-29,1590177
2015-11-30,1615836
2015-12-01,1610036
2015-12-02,1604292
2015-12-03,1603569
2015-12-04,1581333
2015-12-05,1558989
2015-12-06,1555105
2015-12-07,1584090
2015-12-08,1581100
2015-12-09,1625336
2015-12-10,1595404
2015-12-11,1579291
2015-12-12,1560134
2015-12-13,1580389
2015-12-14,1606660
2015-12-15,1566065
2015-12-16,1577485
2015-12-17,1580118
2015-12-18,1560629
2015-12-19,1534684
2015-12-20,1543547
2015-12-21,1559977
2015-12-22,1583209
2015-12-23,1528445
2015-12-24,1505803
2015-12-25,1490383
2015-12-26,1518378
2015-12-27,1527830
2015-12-28,1552915
2015-12-29,1548993
2015-12-30,1537477
2015-12-31,1497614
2016-01-01,1509194
2016-01-02,1557597
2016-01-03,1572025
2016-01-04,1615020
2016-01-05,1603168
2016-01-06,1593622
2016-01-07,1618177
2016-01-08,1599526
2016-01-09,1573810
2016-01-10,1595739
