Date,"Rinite"
2015-07-01,132
2015-07-02,118
2015-07-03,103
2015-07-04,74
2015-07-05,79
2015-07-06,121
2015-07-07,113
2015-07-08,101
2015-07-09,102
2015-07-10,92
2015-07-11,67
2015-07-12,77
2015-07-13,118
2015-07-14,96
2015-07-15,103
2015-07-16,107
2015-07-17,70
2015-07-18,63
2015-07-19,71
2015-07-20,91
2015-07-21,98
2015-07-22,90
2015-07-23,96
2015-07-24,70
2015-07-25,68
2015-07-26,81
2015-07-27,81
2015-07-28,108
2015-07-29,84
2015-07-30,79
2015-07-31,83
2015-08-01,53
2015-08-02,76
2015-08-03,77
2015-08-04,74
2015-08-05,87
2015-08-06,103
2015-08-07,132
2015-08-08,81
2015-08-09,94
2015-08-10,82
2015-08-11,98
2015-08-12,78
2015-08-13,83
2015-08-14,84
2015-08-15,75
2015-08-16,95
2015-08-17,110
2015-08-18,80
2015-08-19,118
2015-08-20,96
2015-08-21,112
2015-08-22,95
2015-08-23,107
2015-08-24,121
2015-08-25,129
2015-08-26,120
2015-08-27,132
2015-08-28,125
2015-08-29,86
2015-08-30,100
2015-08-31,117
2015-09-01,141
2015-09-02,338
2015-09-03,627
2015-09-04,127
2015-09-05,118
2015-09-06,114
2015-09-07,180
2015-09-08,140
2015-09-09,149
2015-09-10,148
2015-09-11,139
2015-09-12,95
2015-09-13,85
2015-09-14,131
2015-09-15,135
2015-09-16,142
2015-09-17,153
2015-09-18,125
2015-09-19,99
2015-09-20,105
2015-09-21,167
2015-09-22,153
2015-09-23,153
2015-09-24,143
2015-09-25,112
2015-09-26,139
2015-09-27,140
2015-09-28,148
2015-09-29,192
2015-09-30,188
2015-10-01,159
2015-10-02,135
2015-10-03,118
2015-10-04,116
2015-10-05,208
2015-10-06,170
2015-10-07,194
2015-10-08,150
2015-10-09,132
2015-10-10,130
2015-10-11,145
2015-10-12,125
2015-10-13,161
2015-10-14,172
2015-10-15,159
2015-10-16,162
2015-10-17,132
2015-10-18,131
2015-10-19,171
2015-10-20,185
2015-10-21,147
2015-10-22,153
2015-10-23,174
2015-10-24,152
2015-10-25,117
2015-10-26,173
2015-10-27,148
2015-10-28,169
2015-10-29,165
2015-10-30,135
2015-10-31,132
2015-11-01,126
2015-11-02,146
2015-11-03,168
2015-11-04,166
2015-11-05,179
2015-11-06,145
2015-11-07,120
2015-11-08,122
2015-11-09,138
2015-11-10,173
2015-11-11,144
2015-11-12,187
