Date,"Sarcoidosi"
2015-07-01,385
2015-07-02,402
2015-07-03,374
2015-07-04,296
2015-07-05,281
2015-07-06,372
2015-07-07,354
2015-07-08,394
2015-07-09,318
2015-07-10,318
2015-07-11,240
2015-07-12,293
2015-07-13,379
2015-07-14,399
2015-07-15,347
2015-07-16,362
2015-07-17,333
2015-07-18,291
2015-07-19,262
2015-07-20,408
2015-07-21,364
2015-07-22,412
2015-07-23,347
2015-07-24,349
2015-07-25,242
2015-07-26,268
2015-07-27,370
2015-07-28,909
2015-07-29,367
2015-07-30,460
2015-07-31,680
2015-08-01,240
2015-08-02,167
2015-08-03,309
2015-08-04,317
2015-08-05,261
2015-08-06,234
2015-08-07,296
2015-08-08,214
2015-08-09,181
2015-08-10,271
2015-08-11,262
2015-08-12,260
2015-08-13,217
2015-08-14,182
2015-08-15,146
2015-08-16,179
2015-08-17,227
2015-08-18,252
2015-08-19,1455
2015-08-20,421
2015-08-21,255
2015-08-22,341
2015-08-23,424
2015-08-24,314
2015-08-25,443
2015-08-26,308
2015-08-27,260
2015-08-28,258
2015-08-29,213
2015-08-30,174
2015-08-31,254
2015-09-01,352
2015-09-02,319
2015-09-03,215
2015-09-04,254
2015-09-05,187
2015-09-06,196
2015-09-07,259
2015-09-08,240
2015-09-09,319
2015-09-10,248
2015-09-11,261
2015-09-12,204
2015-09-13,228
2015-09-14,485
2015-09-15,413
2015-09-16,349
2015-09-17,345
2015-09-18,388
2015-09-19,209
2015-09-20,230
2015-09-21,336
2015-09-22,305
2015-09-23,350
2015-09-24,296
2015-09-25,310
2015-09-26,525
2015-09-27,204
2015-09-28,276
2015-09-29,243
2015-09-30,263
2015-10-01,257
2015-10-02,275
2015-10-03,165
2015-10-04,154
2015-10-05,296
2015-10-06,287
2015-10-07,301
2015-10-08,247
2015-10-09,387
2015-10-10,184
2015-10-11,184
2015-10-12,336
2015-10-13,293
2015-10-14,308
2015-10-15,302
2015-10-16,244
2015-10-17,186
2015-10-18,159
2015-10-19,261
2015-10-20,288
2015-10-21,270
2015-10-22,295
2015-10-23,256
2015-10-24,182
2015-10-25,186
2015-10-26,275
2015-10-27,250
2015-10-28,247
2015-10-29,284
2015-10-30,244
2015-10-31,157
2015-11-01,149
2015-11-02,278
2015-11-03,300
2015-11-04,306
2015-11-05,302
2015-11-06,293
2015-11-07,196
2015-11-08,171
2015-11-09,270
2015-11-10,318
2015-11-11,353
2015-11-12,293
2015-11-13,234
2015-11-14,172
2015-11-15,144
2015-11-16,256
2015-11-17,310
2015-11-18,303
2015-11-19,333
2015-11-20,293
2015-11-21,230
2015-11-22,228
2015-11-23,320
2015-11-24,323
2015-11-25,318
2015-11-26,303
2015-11-27,244
2015-11-28,184
2015-11-29,216
2015-11-30,315
2015-12-01,309
2015-12-02,296
2015-12-03,300
2015-12-04,290
2015-12-05,203
2015-12-06,176
2015-12-07,334
2015-12-08,264
2015-12-09,334
2015-12-10,408
2015-12-11,390
2015-12-12,223
2015-12-13,235
2015-12-14,321
2015-12-15,344
2015-12-16,311
2015-12-17,321
2015-12-18,332
2015-12-19,194
2015-12-20,227
2015-12-21,327
2015-12-22,334
2015-12-23,258
2015-12-24,186
2015-12-25,172
2015-12-26,212
2015-12-27,235
2015-12-28,349
2015-12-29,283
2015-12-30,262
2015-12-31,243
2016-01-01,223
2016-01-02,314
2016-01-03,308
2016-01-04,354
2016-01-05,314
2016-01-06,250
2016-01-07,346
2016-01-08,325
2016-01-09,260
2016-01-10,256
2016-01-11,390
2016-01-12,401
2016-01-13,351
2016-01-14,350
2016-01-15,321
2016-01-16,256
2016-01-17,285
2016-01-18,367
2016-01-19,446
2016-01-20,429
2016-01-21,416
2016-01-22,393
2016-01-23,319
2016-01-24,257
2016-01-25,420
2016-01-26,413
2016-01-27,400
2016-01-28,394
2016-01-29,360
2016-01-30,297
2016-01-31,273
2016-02-01,461
2016-02-02,394
2016-02-03,397
2016-02-04,413
2016-02-05,426
2016-02-06,293
2016-02-07,286
2016-02-08,478
2016-02-09,454
2016-02-10,429
2016-02-11,360
2016-02-12,398
2016-02-13,403
2016-02-14,289
2016-02-15,440
2016-02-16,464
2016-02-17,594
2016-02-18,448
2016-02-19,383
2016-02-20,337
2016-02-21,303
2016-02-22,432
2016-02-23,531
2016-02-24,450
2016-02-25,354
2016-02-26,355
2016-02-27,267
2016-02-28,265
2016-02-29,366
2016-03-01,372
2016-03-02,383
2016-03-03,401
2016-03-04,379
2016-03-05,254
2016-03-06,291
2016-03-07,373
2016-03-08,444
2016-03-09,560
2016-03-10,697
2016-03-11,388
2016-03-12,270
2016-03-13,747
2016-03-14,618
2016-03-15,470
2016-03-16,443
2016-03-17,475
2016-03-18,387
2016-03-19,272
2016-03-20,285
2016-03-21,402
2016-03-22,412
2016-03-23,379
2016-03-24,350
2016-03-25,274
2016-03-26,240
2016-03-27,243
2016-03-28,221
2016-03-29,440
2016-03-30,423
2016-03-31,352
2016-04-01,395
2016-04-02,467
2016-04-03,497
2016-04-04,427
2016-04-05,421
2016-04-06,422
2016-04-07,444
2016-04-08,402
2016-04-09,314
2016-04-10,307
2016-04-11,470
2016-04-12,435
2016-04-13,444
2016-04-14,586
2016-04-15,376
2016-04-16,248
2016-04-17,307
2016-04-18,403
2016-04-19,452
2016-04-20,441
2016-04-21,455
2016-04-22,473
2016-04-23,298
2016-04-24,306
2016-04-25,228
2016-04-26,391
2016-04-27,417
2016-04-28,369
2016-04-29,358
2016-04-30,268
2016-05-01,314
2016-05-02,414
2016-05-03,424
2016-05-04,420
2016-05-05,390
2016-05-06,442
2016-05-07,324
2016-05-08,335
2016-05-09,411
2016-05-10,462
2016-05-11,450
2016-05-12,379
2016-05-13,430
2016-05-14,345
2016-05-15,292
2016-05-16,474
2016-05-17,477
2016-05-18,498
2016-05-19,426
2016-05-20,468
2016-05-21,475
2016-05-22,348
2016-05-23,437
2016-05-24,421
2016-05-25,618
2016-05-26,472
2016-05-27,375
2016-05-28,309
2016-05-29,286
2016-05-30,422
2016-05-31,468
2016-06-01,516
2016-06-02,412
2016-06-03,332
2016-06-04,276
2016-06-05,393
2016-06-06,438
2016-06-07,478
2016-06-08,483
2016-06-09,501
2016-06-10,483
2016-06-11,384
2016-06-12,766
2016-06-13,437
2016-06-14,514
2016-06-15,475
2016-06-16,459
2016-06-17,378
2016-06-18,334
2016-06-19,448
2016-06-20,484
2016-06-21,578
2016-06-22,496
2016-06-23,458
2016-06-24,397
2016-06-25,377
2016-06-26,330
2016-06-27,326
2016-06-28,336
2016-06-29,412
2016-06-30,437
2016-07-01,378
2016-07-02,302
2016-07-03,295
2016-07-04,451
2016-07-05,472
2016-07-06,453
2016-07-07,402
2016-07-08,382
2016-07-09,316
2016-07-10,350
2016-07-11,457
2016-07-12,525
2016-07-13,440
2016-07-14,378
2016-07-15,397
2016-07-16,379
2016-07-17,508
2016-07-18,566
2016-07-19,735
2016-07-20,513
2016-07-21,421
2016-07-22,353
2016-07-23,286
2016-07-24,255
2016-07-25,227
2016-07-26,246
2016-07-27,255
2016-07-28,262
2016-07-29,241
2016-07-30,283
2016-07-31,204
2016-08-01,279
2016-08-02,222
2016-08-03,217
2016-08-04,235
2016-08-05,359
2016-08-06,179
2016-08-07,154
2016-08-08,270
2016-08-09,269
2016-08-10,207
2016-08-11,240
2016-08-12,191
2016-08-13,158
2016-08-14,123
2016-08-15,148
2016-08-16,181
2016-08-17,323
2016-08-18,225
2016-08-19,200
2016-08-20,172
2016-08-21,203
2016-08-22,222
2016-08-23,256
2016-08-24,220
2016-08-25,261
2016-08-26,259
2016-08-27,192
2016-08-28,209
2016-08-29,272
2016-08-30,309
2016-08-31,283
2016-09-01,315
2016-09-02,325
2016-09-03,234
2016-09-04,217
2016-09-05,339
2016-09-06,358
2016-09-07,329
2016-09-08,307
2016-09-09,306
2016-09-10,268
2016-09-11,268
2016-09-12,309
2016-09-13,297
2016-09-14,367
2016-09-15,347
2016-09-16,320
2016-09-17,187
2016-09-18,226
2016-09-19,296
2016-09-20,312
2016-09-21,321
2016-09-22,320
2016-09-23,310
2016-09-24,194
2016-09-25,212
2016-09-26,314
2016-09-27,282
2016-09-28,291
2016-09-29,290
2016-09-30,223
2016-10-01,185
2016-10-02,179
2016-10-03,280
2016-10-04,235
2016-10-05,284
2016-10-06,282
2016-10-07,266
2016-10-08,185
2016-10-09,163
2016-10-10,275
2016-10-11,290
2016-10-12,313
2016-10-13,261
2016-10-14,242
2016-10-15,198
2016-10-16,154
2016-10-17,300
2016-10-18,255
2016-10-19,246
2016-10-20,288
2016-10-21,249
2016-10-22,173
2016-10-23,177
2016-10-24,270
2016-10-25,314
2016-10-26,300
2016-10-27,262
2016-10-28,262
2016-10-29,182
2016-10-30,146
2016-10-31,188
2016-11-01,177
2016-11-02,263
2016-11-03,271
2016-11-04,283
2016-11-05,211
2016-11-06,216
2016-11-07,297
2016-11-08,325
2016-11-09,272
2016-11-10,302
2016-11-11,264
2016-11-12,194
2016-11-13,280
2016-11-14,307
2016-11-15,376
2016-11-16,298
2016-11-17,313
2016-11-18,263
2016-11-19,249
2016-11-20,202
2016-11-21,302
2016-11-22,358
2016-11-23,421
2016-11-24,589
2016-11-25,349
2016-11-26,219
2016-11-27,355
2016-11-28,352
2016-11-29,328
2016-11-30,304
2016-12-01,342
2016-12-02,314
2016-12-03,253
2016-12-04,204
2016-12-05,304
2016-12-06,300
2016-12-07,282
2016-12-08,272
2016-12-09,347
2016-12-10,223
2016-12-11,231
2016-12-12,344
2016-12-13,272
2016-12-14,308
2016-12-15,379
2016-12-16,277
2016-12-17,220
2016-12-18,239
2016-12-19,325
2016-12-20,364
2016-12-21,320
2016-12-22,305
2016-12-23,241
2016-12-24,152
2016-12-25,143
2016-12-26,190
2016-12-27,248
2016-12-28,335
2016-12-29,301
2016-12-30,229
2016-12-31,148
2017-01-01,182
2017-01-02,254
2017-01-03,357
2017-01-04,286
2017-01-05,259
2017-01-06,289
2017-01-07,231
2017-01-08,228
2017-01-09,319
2017-01-10,279
2017-01-11,345
2017-01-12,367
2017-01-13,424
2017-01-14,291
2017-01-15,268
2017-01-16,362
2017-01-17,439
2017-01-18,365
2017-01-19,365
2017-01-20,383
2017-01-21,294
2017-01-22,414
2017-01-23,383
2017-01-24,386
2017-01-25,380
2017-01-26,358
2017-01-27,349
2017-01-28,272
2017-01-29,269
2017-01-30,403
2017-01-31,383
2017-02-01,358
2017-02-02,416
2017-02-03,367
2017-02-04,318
2017-02-05,309
2017-02-06,352
2017-02-07,402
2017-02-08,351
2017-02-09,391
2017-02-10,493
2017-02-11,292
2017-02-12,256
2017-02-13,363
2017-02-14,398
2017-02-15,359
2017-02-16,374
2017-02-17,392
2017-02-18,285
2017-02-19,278
2017-02-20,381
2017-02-21,369
2017-02-22,381
2017-02-23,322
2017-02-24,347
2017-02-25,232
2017-02-26,239
2017-02-27,338
2017-02-28,299
2017-03-01,303
2017-03-02,277
2017-03-03,366
2017-03-04,199
2017-03-05,275
2017-03-06,321
2017-03-07,369
2017-03-08,297
2017-03-09,305
2017-03-10,274
2017-03-11,257
2017-03-12,203
2017-03-13,232
2017-03-14,272
2017-03-15,310
2017-03-16,334
2017-03-17,223
2017-03-18,193
2017-03-19,239
2017-03-20,314
2017-03-21,414
2017-03-22,343
2017-03-23,336
2017-03-24,306
2017-03-25,207
